record type,booking id,date,service type,special trip option id
25,1,20221001,0,
25,1,20221002,1,
25,1,20221003,2,
25,1,20221004,2,
25,1,20221005,2,
25,1,20221006,2,
25,1,20221007,3,
25,1,20221008,0,
25,1,20221009,1,
25,1,20221010,2,
25,1,20221011,2,
25,1,20221012,2,
25,1,20221013,2,
25,1,20221014,3,
25,1,20221015,0,
25,1,20221016,1,
25,1,20221017,2,
25,1,20221018,2,
25,1,20221019,2,
25,1,20221020,2,
25,1,20221021,3,
25,1,20221022,0,
25,1,20221023,1,
25,1,20221024,2,
25,1,20221025,2,
25,1,20221026,2,
25,1,20221027,2,
25,1,20221028,3,
25,1,20221029,0,
25,1,20221030,1,
25,1,20221031,2,
25,1,20221101,2,
25,1,20221102,2,
25,1,20221103,2,
25,1,20221104,3,
25,1,20221105,0,
25,1,20221106,1,
25,1,20221107,2,
25,1,20221108,2,
25,1,20221109,2,
25,1,20221110,2,
25,1,20221111,3,
25,1,20221112,0,
25,1,20221113,1,
25,1,20221114,2,
25,1,20221115,2,
25,1,20221116,2,
25,1,20221117,2,
25,1,20221118,3,
25,1,20221119,0,
25,1,20221120,1,
25,1,20221121,2,
25,1,20221122,2,
25,1,20221123,2,
25,1,20221124,2,
25,1,20221125,3,
25,1,20221126,0,
25,1,20221127,1,
25,1,20221128,2,
25,1,20221129,2,
25,1,20221130,2,
25,1,20221201,2,
25,1,20221202,3,
25,1,20221203,0,
25,1,20221204,1,
25,1,20221205,2,
25,1,20221206,2,
25,1,20221207,2,
25,1,20221208,2,
25,1,20221209,3,
25,1,20221210,0,
25,1,20221211,1,
25,1,20221212,2,
25,1,20221213,2,
25,1,20221214,2,
25,1,20221215,2,
25,1,20221216,3,
25,1,20221217,0,
25,1,20221218,1,
25,1,20221219,2,
25,1,20221220,2,
25,1,20221221,2,
25,1,20221222,2,
25,1,20221223,3,
25,1,20221224,0,
25,1,20221225,1,
25,1,20221226,2,
25,1,20221227,2,
25,1,20221228,2,
25,1,20221229,2,
25,1,20221230,3,
25,1,20221231,0,
